timeOpen;timeClose;timeHigh;timeLow;priceOpen;priceHigh;priceLow;priceClose;volume
1,70447E+12;1,70456E+12;1,70449E+12;1,70454E+12;0,001551224;0,001551224;0,001474639;0,001474639;313,31
1,70438E+12;1,70447E+12;1,7044E+12;1,70446E+12;0,001603531;0,001612212;0,001551224;0,001551224;299,46
1,7043E+12;1,70438E+12;1,70433E+12;1,70433E+12;0,001603412;0,001604283;0,001601582;0,001603531;136,28
1,70421E+12;1,7043E+12;1,70425E+12;1,70427E+12;0,001593659;0,001648567;0,00156686;0,001603412;74,47
1,70412E+12;1,70421E+12;1,70415E+12;1,70412E+12;0,001561024;0,001595047;0,001561024;0,001593659;247,49
1,70404E+12;1,70412E+12;1,70404E+12;1,70406E+12;0,001633873;0,001633873;0,001552619;0,001561024;556,65
1,70395E+12;1,70404E+12;1,70398E+12;1,70395E+12;0,001584158;0,001636961;0,001584158;0,001633873;220,09
1,70387E+12;1,70395E+12;1,7039E+12;1,70387E+12;0,001547431;0,001585339;0,001547431;0,001584158;13,63
1,70378E+12;1,70387E+12;1,70378E+12;1,70386E+12;0,001721623;0,001721623;0,001547431;0,001547431;717,01
1,70369E+12;1,70378E+12;1,70373E+12;1,70369E+12;0,0015961;0,001721623;0,0015961;0,001721623;475,52
1,70361E+12;1,70369E+12;1,70368E+12;1,70361E+12;0,001453431;0,0015961;0,001453431;0,0015961;1227,49
1,70352E+12;1,70361E+12;1,70358E+12;1,70352E+12;0,001317025;0,001466503;0,001317025;0,001453431;49,64
1,70343E+12;1,70352E+12;1,70351E+12;1,70343E+12;0,001314962;0,001317025;0,001314962;0,001317025;0,79
1,70335E+12;1,70343E+12;1,7034E+12;1,70339E+12;0,001304881;0,00133692;0,001296775;0,001314962;296,49
1,70326E+12;1,70335E+12;1,70326E+12;1,70327E+12;0,001316954;0,001321266;0,001294466;0,001304881;206,59
1,70317E+12;1,70326E+12;1,70318E+12;1,7032E+12;0,001332461;0,001345802;0,001288293;0,001316975;460,6
1,70309E+12;1,70317E+12;1,70314E+12;1,70309E+12;0,001283955;0,001354441;0,001265822;0,001332461;8,18
1,703E+12;1,70309E+12;1,70307E+12;1,70301E+12;0,001242514;0,001301093;0,001231878;0,001283328;620,68
1,70292E+12;1,703E+12;1,70293E+12;1,70292E+12;0,001121555;0,001257532;0,001121555;0,00124241;2896,04
1,70283E+12;1,70292E+12;1,70292E+12;1,70287E+12;0,001104647;0,001121633;0,001078455;0,001121633;68,5
1,70274E+12;1,70283E+12;1,70275E+12;1,70283E+12;0,001176994;0,001177163;0,001103694;0,001105538;797,05
1,70266E+12;1,70274E+12;1,70267E+12;1,70274E+12;0,001250095;0,001271812;0,001174651;0,001176756;1201,13
1,70257E+12;1,70266E+12;1,70258E+12;1,70265E+12;0,0012881;0,001292786;0,001243334;0,001250076;117,91
1,70248E+12;1,70257E+12;1,70257E+12;1,7025E+12;0,001269576;0,001288238;0,001251441;0,001287971;194,76
1,7024E+12;1,70248E+12;1,70244E+12;1,70241E+12;0,001218289;0,001293606;0,001173717;0,00127007;2000,03
1,70231E+12;1,7024E+12;1,7024E+12;1,70231E+12;0,001166837;0,001232641;0,001164136;0,001221028;215,18
1,70222E+12;1,70231E+12;1,70229E+12;1,70223E+12;0,001136874;0,001170939;0,001091926;0,001166725;38,81
1,70214E+12;1,70222E+12;1,70221E+12;1,70214E+12;0,001081667;0,001142491;0,001081628;0,001136567;578,35
1,70205E+12;1,70214E+12;1,70207E+12;1,70214E+12;0,001120218;0,001162378;0,00107769;0,001081193;709,54
1,70196E+12;1,70205E+12;1,70204E+12;1,70196E+12;0,001072895;0,001126496;0,001072895;0,001120186;248,84
1,70188E+12;1,70196E+12;1,7019E+12;1,70191E+12;0,001059016;0,001080773;0,001054826;0,001073256;21,83
1,70179E+12;1,70188E+12;1,7018E+12;1,70181E+12;0,001070189;0,001077154;0,001012976;0,001058864;1773,4
1,70171E+12;1,70179E+12;1,70178E+12;1,70178E+12;0,001075805;0,001089004;0,001040452;0,001070073;1924,47
1,70162E+12;1,70171E+12;1,70165E+12;1,70166E+12;0,001061636;0,001102724;0,00105663;0,001075582;529,18
1,70153E+12;1,70162E+12;1,70154E+12;1,7016E+12;0,001071192;0,001083309;0,001053426;0,001061764;48,46
1,70145E+12;1,70153E+12;1,70146E+12;1,70153E+12;0,001193509;0,001200343;0,001069446;0,001071172;2766,37
1,70136E+12;1,70145E+12;1,70136E+12;1,70142E+12;0,001296804;0,001296804;0,001183995;0,00119348;1969,17
1,70127E+12;1,70136E+12;1,7013E+12;1,70128E+12;0,00127071;0,001310273;0,001261489;0,001296666;1157,03
1,70119E+12;1,70127E+12;1,7012E+12;1,70127E+12;0,001601858;0,001607985;0,001253355;0,0012705;6122,38
1,7011E+12;1,70119E+12;1,70115E+12;1,70111E+12;0,00114608;0,00190042;0,001137528;0,001601943;19169,77
1,70101E+12;1,7011E+12;1,70105E+12;1,70102E+12;0,000793842;0,001361595;0,000788805;0,001146063;13619,46
1,70093E+12;1,70101E+12;1,70093E+12;1,70099E+12;0,000812478;0,000812545;0,00078378;0,000794198;119,5
1,70084E+12;1,70093E+12;1,70087E+12;1,70084E+12;0,000797889;0,000816974;0,000797008;0,000812197;178,47
1,70076E+12;1,70084E+12;1,70079E+12;1,70084E+12;0,000807276;0,000817067;0,000794908;0,000798068;115,14
1,70067E+12;1,70076E+12;1,70067E+12;1,70071E+12;0,000806989;0,0008167;0,000794421;0,000807454;318,3
1,70058E+12;1,70067E+12;1,7006E+12;1,70058E+12;0,000777297;0,000820366;0,000777034;0,000807051;232,08
1,7005E+12;1,70058E+12;1,70055E+12;1,70058E+12;0,000863137;0,000912886;0,000766187;0,000778038;155,97
1,70041E+12;1,7005E+12;1,70047E+12;1,70047E+12;0,000839951;0,000894867;0,000828938;0,000863215;7,07
1,70032E+12;1,70041E+12;1,70041E+12;1,70033E+12;0,000834011;0,000841128;0,000825289;0,000840029;5
1,70024E+12;1,70032E+12;1,70024E+12;1,70032E+12;0,00084141;0,00084141;0,000830263;0,000833989;40,5
1,70015E+12;1,70024E+12;1,70016E+12;1,70015E+12;0,000835074;0,000846212;0,00083492;0,00084141;0
1,70006E+12;1,70015E+12;1,70009E+12;1,70013E+12;0,000858008;0,000864391;0,00082131;0,000835144;852,13
1,69998E+12;1,70006E+12;1,70003E+12;1,70002E+12;0,000839081;0,000866073;0,00083528;0,000858246;231,81
1,69989E+12;1,69998E+12;1,69989E+12;1,69996E+12;0,000872821;0,000872821;0,000816966;0,000839092;331,24
1,6998E+12;1,69989E+12;1,6998E+12;1,6998E+12;0,000872871;0,000872871;0,000872821;0,000872821;0
1,69972E+12;1,6998E+12;1,69972E+12;1,69972E+12;0,000885243;0,000886663;0,000864992;0,000872836;14,31
1,69963E+12;1,69972E+12;1,69969E+12;1,69965E+12;0,000887921;0,000900583;0,000871756;0,000885431;46,65
1,69955E+12;1,69963E+12;1,69956E+12;1,69963E+12;0,000911673;0,000932586;0,000887417;0,0008882;273,74
1,69946E+12;1,69955E+12;1,69951E+12;1,69946E+12;0,00084144;0,000926637;0,000839177;0,000911685;1184,16
1,69937E+12;1,69946E+12;1,69943E+12;1,69939E+12;0,000838155;0,000845916;0,000831825;0,000842514;26,13
1,69929E+12;1,69937E+12;1,69931E+12;1,6993E+12;0,000834895;0,000856819;0,000819553;0,000838084;429,54
1,6992E+12;1,69929E+12;1,69928E+12;1,6992E+12;0,000758585;0,000836493;0,000758585;0,000834983;156,41
1,69911E+12;1,6992E+12;1,69912E+12;1,69911E+12;0,000758585;0,000760911;0,000758585;0,000758585;0
1,69903E+12;1,69911E+12;1,69903E+12;1,69911E+12;0,000760912;0,000760912;0,000758585;0,000758585;0
1,69894E+12;1,69903E+12;1,69894E+12;1,69898E+12;0,000764618;0,000766144;0,00074674;0,000760906;4,99
1,69885E+12;1,69894E+12;1,6989E+12;1,69885E+12;0,000727375;0,000786412;0,000727375;0,00076464;335,27
1,69877E+12;1,69885E+12;1,69877E+12;1,69881E+12;0,000733406;0,000735165;0,000724695;0,000727375;0
1,69868E+12;1,69877E+12;1,69868E+12;1,69877E+12;0,000738891;0,000738891;0,000732494;0,000733441;6,81
1,69842E+12;1,69851E+12;1,69842E+12;1,69842E+12;0,000724859;0,000724859;0,000724859;0,000724859;0
1,69834E+12;1,69842E+12;1,69834E+12;1,69838E+12;0,000724859;0,000724859;0,000723011;0,000724859;0
1,69825E+12;1,69834E+12;1,69828E+12;1,69825E+12;0,000716779;0,000735367;0,000716198;0,000724859;0
1,69816E+12;1,69825E+12;1,69817E+12;1,69825E+12;0,000725338;0,000737474;0,000716314;0,000716594;14,32
1,69808E+12;1,69816E+12;1,69809E+12;1,69813E+12;0,000738324;0,000766953;0,000720936;0,000725119;78,8
1,69799E+12;1,69808E+12;1,69807E+12;1,69799E+12;0,000671009;0,000744641;0,000670556;0,000738324;579,24
1,6979E+12;1,69799E+12;1,69799E+12;1,69796E+12;0,000660358;0,000669279;0,000657523;0,000668808;33,93
1,69782E+12;1,6979E+12;1,69789E+12;1,69783E+12;0,000656251;0,000665583;0,000654169;0,000660299;24,06
1,69773E+12;1,69782E+12;1,69777E+12;1,69774E+12;0,000655868;0,000671835;0,000654523;0,000656296;12,02
1,69764E+12;1,69773E+12;1,69764E+12;1,69773E+12;0,000666002;0,000666002;0,000653616;0,000655787;105,2
1,69756E+12;1,69764E+12;1,69756E+12;1,69756E+12;0,000666002;0,000666002;0,000666002;0,000666002;0
1,69747E+12;1,69756E+12;1,69747E+12;1,69751E+12;0,000673035;0,000673422;0,000665438;0,000666002;0
1,69739E+12;1,69747E+12;1,69743E+12;1,69739E+12;0,000653343;0,000683025;0,000653343;0,000673035;50,65
1,69721E+12;1,6973E+12;1,69723E+12;1,69726E+12;0,000640417;0,000643632;0,00064006;0,00064256;2,05
1,69713E+12;1,69721E+12;1,69721E+12;1,69715E+12;0,000639924;0,000645386;0,000637504;0,000640365;27,62
1,69704E+12;1,69713E+12;1,69704E+12;1,6971E+12;0,000658259;0,000658259;0,000637242;0,00063979;15,16
1,69695E+12;1,69704E+12;1,69695E+12;1,69695E+12;0,000658259;0,000658259;0,000658259;0,000658259;0
1,69687E+12;1,69695E+12;1,69687E+12;1,69687E+12;0,000658259;0,000658259;0,000658259;0,000658259;0
1,69678E+12;1,69687E+12;1,69678E+12;1,69678E+12;0,000658263;0,000658263;0,000658259;0,000658259;0
1,69669E+12;1,69678E+12;1,69669E+12;1,69673E+12;0,000664703;0,000664703;0,000652155;0,000658302;0,98
1,69652E+12;1,69661E+12;1,6966E+12;1,69657E+12;0,000662483;0,000667169;0,00065499;0,000664797;25,48
1,69644E+12;1,69652E+12;1,69644E+12;1,69644E+12;0,000662581;0,000662581;0,000662483;0,000662483;0
1,69635E+12;1,69644E+12;1,69643E+12;1,6964E+12;0,000662679;0,000663322;0,000657094;0,000662564;0,66
1,69626E+12;1,69635E+12;1,69628E+12;1,69633E+12;0,00066552;0,000669462;0,000660164;0,000662632;0,68
1,69609E+12;1,69618E+12;1,69617E+12;1,69615E+12;0,000662405;0,00067447;0,000657257;0,000671421;11,05
1,696E+12;1,69609E+12;1,696E+12;1,696E+12;0,000662507;0,000662507;0,000662405;0,000662405;0
1,69592E+12;1,696E+12;1,69592E+12;1,69597E+12;0,000666409;0,000666459;0,000661267;0,000662542;67,08
1,69583E+12;1,69592E+12;1,69589E+12;1,69583E+12;0,000650305;0,000671627;0,000650305;0,000666406;4,26
1,69566E+12;1,69574E+12;1,69566E+12;1,69566E+12;0,00065036;0,00065036;0,000650305;0,000650305;0
1,69557E+12;1,69566E+12;1,69564E+12;1,69562E+12;0,000649327;0,000651676;0,000643517;0,000650357;45,98
1,6954E+12;1,69548E+12;1,6954E+12;1,69548E+12;0,000652733;0,000652733;0,000647826;0,000648256;48,34
1,69523E+12;1,69531E+12;1,69524E+12;1,69526E+12;0,000660011;0,000662174;0,000643888;0,00064754;23,64
1,69488E+12;1,69497E+12;1,69492E+12;1,69488E+12;0,000660509;0,000661201;0,000656754;0,000660238;0
1,69479E+12;1,69488E+12;1,69488E+12;1,69485E+12;0,000656654;0,000661145;0,000655157;0,000660507;31,16
1,69471E+12;1,69479E+12;1,69479E+12;1,69476E+12;0,000650825;0,000658835;0,000647677;0,00065695;2,13
1,69462E+12;1,69471E+12;1,69462E+12;1,69464E+12;0,000651475;0,000658547;0,000647616;0,00065082;2,56
1,69453E+12;1,69462E+12;1,69459E+12;1,69456E+12;0,000636589;0,000653323;0,00063319;0,000651495;105,42
1,69445E+12;1,69453E+12;1,69452E+12;1,69445E+12;0,00061944;0,000643872;0,00061944;0,000636953;101,99
1,69436E+12;1,69445E+12;1,69436E+12;1,69443E+12;0,000639481;0,000639949;0,000614218;0,000619363;12,7
1,69428E+12;1,69436E+12;1,69428E+12;1,69436E+12;0,000648362;0,000648396;0,000639437;0,000639437;40,26
1,69419E+12;1,69428E+12;1,69425E+12;1,69419E+12;0,000638254;0,00065179;0,000638254;0,0006484;404
1,6941E+12;1,69419E+12;1,6941E+12;1,6941E+12;0,000638254;0,000638254;0,000638254;0,000638254;0
1,69402E+12;1,6941E+12;1,69402E+12;1,69402E+12;0,000638254;0,000638254;0,000638254;0,000638254;0
1,69393E+12;1,69402E+12;1,69394E+12;1,69396E+12;0,00063717;0,000639656;0,00063626;0,000638254;0
1,69384E+12;1,69393E+12;1,6939E+12;1,69392E+12;0,000646775;0,000648007;0,000636406;0,000637113;156,48
1,69376E+12;1,69384E+12;1,69381E+12;1,6938E+12;0,000645468;0,000650543;0,000641073;0,000646827;3,88
1,69367E+12;1,69376E+12;1,69367E+12;1,69367E+12;0,000645468;0,000645468;0,000645468;0,000645468;0
1,69358E+12;1,69367E+12;1,6936E+12;1,69358E+12;0,000642015;0,000647137;0,000641755;0,000645468;0
1,6935E+12;1,69358E+12;1,6935E+12;1,69356E+12;0,000651538;0,000655403;0,000635781;0,000641987;6,57
1,69341E+12;1,6935E+12;1,69341E+12;1,69349E+12;0,000677927;0,000677927;0,00064804;0,000651516;40,25
1,69332E+12;1,69341E+12;1,69333E+12;1,69337E+12;0,000685513;0,000686294;0,000677927;0,000677927;0
1,69324E+12;1,69332E+12;1,69332E+12;1,69328E+12;0,000662773;0,000686146;0,000657797;0,000685309;8,27
1,69315E+12;1,69324E+12;1,69321E+12;1,6932E+12;0,00066105;0,000664193;0,000658134;0,000662843;91,33
1,69307E+12;1,69315E+12;1,69307E+12;1,69307E+12;0,000660904;0,00066105;0,000660904;0,00066105;0
1,69298E+12;1,69307E+12;1,69298E+12;1,69306E+12;0,000667577;0,000667577;0,000660615;0,000660869;4,04
1,69289E+12;1,69298E+12;1,69289E+12;1,69291E+12;0,000668264;0,00067029;0,000654426;0,000667577;7,34
1,69281E+12;1,69289E+12;1,69285E+12;1,69281E+12;0,000659424;0,000676996;0,000659424;0,000668243;42,4
1,69272E+12;1,69281E+12;1,69275E+12;1,69272E+12;0,000647233;0,000664706;0,000647233;0,000659424;0
1,69263E+12;1,69272E+12;1,69272E+12;1,69269E+12;0,000645586;0,000651586;0,000625973;0,000647001;2,08
1,69255E+12;1,69263E+12;1,69257E+12;1,6926E+12;0,000663699;0,000664322;0,000635787;0,000646486;1,33
1,69246E+12;1,69255E+12;1,69254E+12;1,69252E+12;0,000658113;0,000667706;0,000656579;0,000663724;92,1
1,69237E+12;1,69246E+12;1,69237E+12;1,69237E+12;0,000658099;0,000658113;0,000658099;0,000658113;0
1,69229E+12;1,69237E+12;1,69233E+12;1,69235E+12;0,000665445;0,000668494;0,000656787;0,000657934;0,67
1,6922E+12;1,69229E+12;1,6922E+12;1,69228E+12;0,000706454;0,000706742;0,000652895;0,000665112;0,39
1,69212E+12;1,6922E+12;1,69212E+12;1,69219E+12;0,000726695;0,000726695;0,000703962;0,000706471;0,78
1,69203E+12;1,69212E+12;1,69203E+12;1,69207E+12;0,000732247;0,000732289;0,00072649;0,000726695;0
1,69194E+12;1,69203E+12;1,69196E+12;1,69201E+12;0,000823269;0,000826033;0,000730744;0,000732334;1420,48
1,69186E+12;1,69194E+12;1,69193E+12;1,69194E+12;0,000823634;0,000827953;0,000822476;0,000823146;4,06
1,69177E+12;1,69186E+12;1,69177E+12;1,69185E+12;0,000834626;0,000834626;0,00082336;0,000823653;112,93
1,69168E+12;1,69177E+12;1,69169E+12;1,6917E+12;0,000837194;0,000839524;0,000832545;0,000834626;0
1,6916E+12;1,69168E+12;1,6916E+12;1,69167E+12;0,000850932;0,000850932;0,000834677;0,000837197;88,69
1,69151E+12;1,6916E+12;1,6916E+12;1,69158E+12;0,00082524;0,000851475;0,000818768;0,000851014;862,06
1,69142E+12;1,69151E+12;1,69147E+12;1,69143E+12;0,000819123;0,00082524;0,00081792;0,00082524;0
1,69134E+12;1,69142E+12;1,69134E+12;1,6914E+12;0,000822808;0,00082789;0,000812619;0,000819301;45,52
1,69125E+12;1,69134E+12;1,69128E+12;1,69125E+12;0,000821232;0,000828999;0,000821017;0,000822866;27,6
1,69116E+12;1,69125E+12;1,69117E+12;1,69121E+12;0,00082755;0,000828927;0,000818906;0,000821276;146,39
1,69108E+12;1,69116E+12;1,6911E+12;1,69115E+12;0,000827857;0,000834346;0,000824534;0,000827583;17,07
1,69099E+12;1,69108E+12;1,69105E+12;1,69102E+12;0,000825719;0,000829598;0,000818067;0,000828081;20,31
1,69091E+12;1,69099E+12;1,69091E+12;1,69097E+12;0,000850885;0,000854442;0,000813121;0,000825747;18,11
1,69082E+12;1,69091E+12;1,69091E+12;1,69083E+12;0,000825287;0,00085092;0,000820318;0,00085092;73,33
1,69073E+12;1,69082E+12;1,69074E+12;1,69081E+12;0,000829863;0,000836268;0,00082431;0,000825704;2,48
1,69065E+12;1,69073E+12;1,69065E+12;1,69072E+12;0,000838858;0,000839162;0,000824202;0,000830033;58,48
